AQW00061705       11565C
USC00151895        3517Q
USC00151900        3805R
USC00151998        3686R
USC00152040        3876R
USC00152214        3850R
USC00152409        3627R
USC00152442        4786Q
USC00152512        3769R
USC00152575        4143Q
USC00152775        3544R
USC00152791        4031S
USC00153028        3664R
USC00153223        5043R
USC00153230        3729Q
USC00153246        4686R
USC00153295        4522R
USC00153382        3199R
USC00153389        3445R
USC00153391        3284R
USC00153430        4102S
USC00153604        4447R
USC00153741        3777R
USC00153744        3549Q
USC00153762        4254R
USC00153929        4089S
USC00153994        4452R
USC00154138        3421Q
USC00154208        3689R
USC00154375        4478Q
USC00154703        3523S
USC00154958        4042Q
USC00154967        4696R
USC00155067        4653R
USC00155097        4612R
USC00155111        3538R
USC00155165        4026Q
USC00155233        4644R
USC00155243        3683R
USC00155280        3855Q
USC00155389        3793R
USC00155524        3915S
USC00155640        3442R
USC00155648        3837S
USC00155694        4722R
USC00155834        4270S
USC00156012        3057Q
USC00156028        3756Q
USC00156091        4805R
USC00156117        4797R
USC00156136        3815R
USC00156224        3889Q
USC00156580        4594S
USC00156595        4537R
USC00156882        4343R
USC00156988        3960S
USC00157049        4258R
USC00157215        4103S
USC00157324        3532R
USC00157510        3826R
USC00157592        4277Q
USC00157652        3464Q
USC00157677        3470S
USC00157800        3930R
USC00158432        3141Q
USC00158446        3590R
USC00158551        3255R
USC00158553        3494Q
USC00158555        4269Q
USC00158709        3634R
USC00158714        4013R
USC00158824        3931Q
USC00160098        6584S
USC00160103        6087R
USC00160205        6385S
USC00160349        5885S
USC00160537        5609S
USC00160718        5914Q
USC00160800        5894R
USC00160945        6477R
USC00161232        6494S
USC00161246        6458R
USC00161287        6540S
USC00161292        7393R
USC00161411        5608S
USC00161565        6865S
USC00161899        6002S
USC00161941        6092Q
USC00161979        5839R
USC00162151        6381R
USC00162212        6839S
USC00162361        6352R
USC00162367        6558S
USC00162534        6780C
USC00162800        6427R
USC00162981        7102R
USC00163079        5851R
USC00163313        6836R
USC00163327        6491R
USC00163433        7186S
USC00163800        6796S
USC00163979        7295R
USC00164030        6494S
USC00164288        6321Q
USC00164355        5386R
USC00164407        7295R
USC00164674        6948S
USC00164696        5958R
USC00164700        6848C
USC00164739        6412R
USC00165021        6727R
USC00165065        7259R
USC00165090        5956C
USC00165146        6317Q
USC00165266        6168R
USC00165296        6893R
USC00165527        5884R
USC00165620        6719S
USC00165624        7344R
USC00165630        6465S
USC00165874        5869R
USC00165892        6107R
USC00165926        6899R
USC00166244        5800S
USC00166314        5882S
USC00166364        5984Q
USC00166394        7045S
USC00166434        6618Q
USC00166582        6590S
USC00166584        6334Q
USC00166657        7216R
USC00166686        6801S
USC00166938        6628R
USC00166978        6022R
USC00167344        5729R
USC00167691        6128R
USC00167738        6145S
USC00167767        7033S
USC00167924        5934Q
USC00167932        6789S
USC00168046        6173S
USC00168067        5519R
USC00168108        7053R
USC00168163        6361S
USC00168181        6617Q
USC00168444        5957Q
USC00168448        6097Q
USC00168539        6725S
USC00168543        6576R
USC00168923        6082S
USC00168941        7427R
USC00169013        7001R
USC00169074        6329Q
USC00169803        6034R
USC00169804        6170Q
USC00169806        6231S
USC00170100        2248S
USC00170200        1334R
USC00170398        1731R
USC00170480        1757S
USC00170655        1692Q
USC00170814        1487S
USC00170833        1647S
USC00170844        1834S
USC00171472        1333R
USC00171628        1894S
USC00171833        1749R
USC00171975        1715R
USC00172048        1833R
USC00172238        1828S
USC00172426        1506R
USC00172620        1953R
USC00172623        1857Q
USC00172700        1323R
USC00172765        1796C
USC00172878        1383S
USC00173046        2079S
USC00173261        1983R
USC00173295        2216R
USC00173353        1657Q
USC00173417        1713Q
USC00173570        1590R
USC00173862        1932R
USC00173944        1770R
USC00174086        1468S
USC00174183        1616R
USC00174193        1772R
USC00174566        2198R
USC00174683        1970Q
USC00174781        1358S
USC00174927        1920S
USC00175261        1516R
USC00175304        1842S
USC00175347        1885Q
USC00175675        2040S
USC00176430        2241R
USC00176594        1560R
USC00176721        1381R
USC00176856        2065Q
USC00176875        1646Q
USC00176881        1552R
USC00176937        1793S
USC00177037        1411S
USC00177039        1316R
USC00177174        1575R
USC00177238        1617R
USC00177325        2007S
USC00177479        2464S
USC00177654        1738R
USC00178353        1810R
USC00178792        1816Q
USC00178817        2059Q
USC00178965        1437S
USC00178974        1862R
USC00179151        2112S
USC00179294        1737R
USC00179314        2081S
USC00179547        1855Q
USC00179593        1918S
USC00179891        1922S
USC00180193        4616R
USC00180335        3992R
USC00180700        3831S
USC00180732        4173R
USC00181385        4423R
USC00181530        3227S
USC00181750        3849S
USC00181862        3557R
USC00181995        4216R
USC00182060        3875R
USC00182282        3772S
USC00182308        3350Q
USC00182325        4157S
USC00182335        3582R
USC00182336        3380R
USC00182906        3217S
USC00183348        4120R
USC00183353        3563Q
USC00183415        2421S
USC00183675        3673R
USC00184030        3228R
USC00185080        4113R
USC00185111        4120R
USC00185832        2441R
USC00185865        3609S
USC00185934        3183R
USC00185985        3894R
USC00186350        4337S
USC00186620        2264S
USC00186770        3974R
USC00186800        4149Q
USC00187330        3864R
USC00187705        3841R
USC00187806        4273S
USC00188000        4363S
USC00188065        2574S
USC00188207        3280R
USC00188371        3241Q
USC00188380        4159C
USC00188405        4485Q
USC00188557        3927Q
USC00189030        3380R
USC00189070        3806R
USC00189140        4356S
USC00189440        3523R
USC00189570        3367Q
USC00189750        3770R
USC00190120        2473S
USC00190190        2212Q
USC00190192        1994Q
USC00190213        1740Q
USC00190408        1953R
USC00190535        2573R
USC00190562        2400Q
USC00190593        2197R
USC00190666        2096R
USC00190759        2021R
USC00190840        2488Q
USC00190860        2507S
USC00190998        2395R
USC00191386        2262S
USC00191774        2028R
USC00191821        2096Q
USC00192107        2442S
USC00192451        2536R
USC00192501        2776S
USC00193213        2465R
USC00193229        2282Q
USC00193276        2439R
USC00193505        2460S
USC00193624        2744S
USC00193821        2509R
USC00193890        2856R
USC00193985        2095R
USC00194075        1964R
USC00194105        2842S
USC00194131        2172R
USC00194313        2610R
USC00194502        2605R
USC00194580        2717S
USC00194711        2490Q
USC00194744        2919S
USC00195175        2497Q
USC00195246        3032R
USC00195984        2537R
USC00196245        2442R
USC00196486        2603S
USC00196783        2607S
USC00196938        2714S
USC00197230        1851Q
USC00197627        2338R
USC00198367        2804R
USC00198573        2340R
USC00198757        2790S
USC00199193        2497Q
USC00199316        2663R
USC00199371        1906Q
USC00199972        1916R
USC00200032        2551S
USC00200089        1750R
USC00200106        2730Q
USC00200128        2390R
USC00200146        2472C
USC00200166        1871R
USC00200197        1639Q
USC00200220        2588Q
USC00200228        2609Q
USC00200230        2925S
USC00200342        1788Q
USC00200343        1917R
USC00200361        2328Q
USC00200417        2274S
USC00200446        2273R
USC00200718        1593S
USC00200758        2226Q
USC00200770        1801R
USC00200779        2128S
USC00200842        2663Q
USC00200864        2476R
USC00200925        2423C
USC00201052        2332Q
USC00201150        2444Q
USC00201238        2276Q
USC00201250        2608Q
USC00201299        2389R
USC00201343        2323Q
USC00201361        2228R
USC00201435        1367Q
USC00201439        1382R
USC00201468        2346R
USC00201476        2487S
USC00201486        1663R
USC00201492        1877R
USC00201502        2586Q
USC00201675        2637S
USC00201780        1578R
USC00201802        1843R
USC00201818        2395Q
USC00201896        1834S
USC00202015        3000S
USC00202016        2885Q
USC00202094        1777S
USC00202250        2567S
USC00202308        2936Q
USC00202328        2549Q
USC00202381        2180C
USC00202395        2766R
USC00202423        2124S
USC00202427        2865Q
USC00202445        3234S
USC00202503        1789Q
USC00202631        2691S
USC00202691        2579Q
USC00202737        1849R
USC00202788        2230Q
USC00202804        2090R
USC00202851        2453Q
USC00202955        2288Q
USC00202984        2125S
USC00203025        2257Q
USC00203096        1974S
USC00203099        1835R
USC00203188        1809Q
USC00203278        2504Q
USC00203290        2651R
USC00203295        2243Q
USC00203391        1834S
USC00203429        2435R
USC00203477        2675S
USC00203504        3059R
USC00203529        2020S
USC00203585        1975S
USC00203628        1886R
USC00203632        2175R
USC00203661        2472S
USC00203712        2546Q
USC00203744        1561R
USC00203769        2204R
USC00203823        2552R
USC00203858        2827R
USC00203913        2384Q
USC00203930        1960R
USC00203932        1842R
USC00203947        2698Q
USC00204078        2490S
USC00204090        1993S
USC00204104        1724S
USC00204130        1738Q
USC00204257        1829R
USC00204258        1784Q
USC00204399        2285Q
USC00204502        1901S
USC00204655        2439S
USC00204659        2532Q
USC00204793        2467Q
USC00204808        2272Q
USC00204954        2278R
USC00204967        1853R
USC00205050        2587Q
USC00205065        2369S
USC00205073        1520S
USC00205097        2349R
USC00205168        2211Q
USC00205434        2632S
USC00205450        2703R
USC00205451        2773Q
USC00205452        2489R
USC00205531        2096R
USC00205533        1996Q
USC00205558        2980R
USC00205563        2930Q
USC00205567        2247S
USC00205591        1555Q
USC00205603        2755Q
USC00205662        2425R
USC00205690        1619R
USC00205810        1400Q
USC00205816        1549R
USC00205822        2827Q
USC00206007        1922Q
USC00206012        2326R
USC00206158        2146R
USC00206184        2198S
USC00206220        1970S
USC00206300        2548S
USC00206442        1733Q
USC00206507        1912S
USC00206510        1833Q
USC00206583        1716Q
USC00206587        2258Q
USC00206658        2614R
USC00206662        2188Q
USC00206663        2076R
USC00206680        2706R
USC00206982        2452Q
USC00207094        1996S
USC00207190        1692R
USC00207222        2614Q
USC00207225        2409Q
USC00207253        2341R
USC00207274        1846S
USC00207277        1879R
USC00207280        2620S
USC00207308        2646Q
USC00207312        2670Q
USC00207320        2695Q
USC00207350        2380R
USC00207364        1628R
USC00207515        2033R
USC00207684        2061Q
USC00207690        2877S
USC00207812        1408S
USC00207820        2047S
USC00207867        1855R
USC00208043        1348R
USC00208080        2704Q
USC00208184        2833S
USC00208202        2681Q
USC00208249        2231Q
USC00208293        1653R
USC00208345        1503Q
USC00208417        1736S
USC00208443        2254Q
USC00208680        1519R
USC00208706        1477Q
USC00208774        2218Q
USC00208800        1994S
USC00208920        1384S
USC00208941        2370R
USC00208972        2401Q
USC00209188        2212Q
USC00210018        2243R
USC00210050        2233R
USC00210059        1857R
USC00210075        2612S
USC00210157        2882R
USC00210190        2293Q
USC00210252        1974C
USC00210287        2511S
USC00210355        2473S
USC00210387        1558R
USC00210515        1993R
USC00210564        1368Q
USC00210643        1785R
USC00210667        2495S
USC00210746        1937R
USC00210809        1718R
USC00210939        2020S
USC00210973        2499Q
USC00210989        1330R
USC00211063        2405R
USC00211065        2533Q
USC00211074        1734R
USC00211107        2457R
USC00211174        2311R
USC00211198        2439S
USC00211227        2364R
USC00211245        2342R
USC00211250        1735Q
USC00211263        2662S
USC00211374        1910S
USC00211390        2483R
USC00211448        2611R
USC00211465        2944R
USC00211468        2523Q
USC00211630        1791S
USC00211691        2653S
USC00211771        1739Q
USC00211776        1805R
USC00211840        1480R
USC00211891        2127S
USC00212015        2476Q
USC00212023        2697Q
USC00212050        2090R
USC00212088        2493R
USC00212142        2414R
USC00212246        1451R
USC00212500        2588Q
USC00212543        1693R
USC00212555        1678Q
USC00212576        1096R
USC00212645        1677R
USC00212698        2861S
USC00212721        2465S
USC00212737        2698S
USC00212768        2332R
USC00212842        1553R
USC00212881        2562S
USC00212916        1853R
USC00213076        2585S
USC00213104        2399S
USC00213174        2442S
USC00213282        1158S
USC00213290        2252S
USC00213296        1211R
USC00213303        1947C
USC00213311        2500Q
USC00213411        2097S
USC00213417        1468R
USC00213455        1948R
USC00213567        2633R
USC00213793        1889R
USC00213962        2582S
USC00214103        1879R
USC00214106        1740S
USC00214176        2419R
USC00214191        1570Q
USC00214306        1653R
USC00214373        2263Q
USC00214453        2473R
USC00214534        2568S
USC00214546        2599S
USC00214652        2001S
USC00214778        2463S
USC00214793        2532S
USC00214809        1632R
USC00214861        2094S
USC00214884        3140R
USC00214918        1233R
USC00214937        2758R
USC00214994        2620S
USC00215012        2183R
USC00215073        2677R
USC00215175        1685R
USC00215204        2670S
USC00215325        2218R
USC00215392        2099S
USC00215400        2783S
USC00215563        2505R
USC00215586        2500R
USC00215598        2013S
USC00215615        2146R
USC00215638        2345S
USC00215838        2686R
USC00215842        2651S
USC00215887        2787S
USC00215902        2056Q
USC00215989        1716Q
USC00216148        1951R
USC00216152        2479S
USC00216211        1301Q
USC00216228        2393Q
USC00216276        2324R
USC00216287        2640S
USC00216547        2072S
USC00216565        2502S
USC00216612        1941Q
USC00216654        2492S
USC00216787        2030S
USC00216795        2002R
USC00216822        2669R
USC00216839        2620Q
USC00216920        2203Q
USC00217087        1831R
USC00217107        2561S
USC00217149        2315R
USC00217184        2430R
USC00217326        2633S
USC00217377        2719R
USC00217379        2701Q
USC00217405        2782S
USC00217460        1996Q
USC00217502        2484S
USC00217907        2603S
USC00217935        2788Q
USC00218025        2632R
USC00218037        3106R
USC00218039        2468Q
USC00218191        1980R
USC00218227        2507R
USC00218247        2092R
USC00218254        1864R
USC00218307        1676Q
USC00218311        1425S
USC00218323        2708S
USC00218419        1480S
USC00218421        1502R
USC00218429        2515R
USC00218450        2931R
USC00218477        2990R
USC00218579        1922S
USC00218618        2030R
USC00218621        2069Q
USC00218679        1784S
USC00218692        2695S
USC00218700        1693R
USC00218808        2733R
USC00218907        2449S
USC00218947        2414Q
USC00218986        2177R
USC00219004        2563S
USC00219033        2867S
USC00219046        2704S
USC00219067        3131R
USC00219072        2622R
USC00219101        1831R
USC00219134        1542R
USC00219170        2533S
USC00219173        1804S
USC00219249        2336S
USC00220021        5368S
USC00220488        5133R
USC00220521        5945R
USC00220585        6231R
USC00220660        5963S
USC00220792        6914R
USC00220955        4725R
USC00221094        5823S
USC00221111        5728Q
USC00221314        5242S
USC00221389        5620R
USC00221489        5503R
USC00221606        5291R
USC00221707        5378S
USC00221738        5691R
USC00221743        5549R
USC00221852        5829S
USC00221865        6311R
USC00221880        5671R
USC00221962        4752S
USC00222094        6323R
USC00222282        5153Q
USC00222385        5543R
USC00222896        5142R
USC00223107        5550S
USC00223208        4970S
USC00223605        5713R
USC00223645        5105S
USC00223671        6704R
USC00223887        6284S
USC00223920        6266S
USC00223975        5665R
USC00224001        4804S
USC00224173        4649S
USC00224265        4767R
USC00224377        4914R
USC00224455        4465S
USC00224702        5309R
USC00224776        5172R
USC00224869        5561Q
USC00224939        5939S
USC00225062        5172R
USC00225070        5916R
USC00225247        5330R
USC00225361        5498R
USC00225704        6146R
USC00225789        6135R
USC00225897        5775R
USC00225987        6169R
USC00226009        5841S
USC00226177        6049S
USC00226308        5428S
USC00226476        5958R
USC00226527        4921R
USC00226638        5994Q
USC00226718        6190R
USC00226811        5955R
USC00226894        5855S
USC00226921        6359R
USC00226926        5495R
USC00227111        4995S
USC00227128        6257R
USC00227132        5680S
USC00227252        5680R
USC00227276        5391Q
USC00227444        5576R
USC00227467        4681R
USC00227560        5960S
USC00227815        5371Q
USC00227831        5791Q
USC00227840        6937S
USC00227921        5153Q
USC00228374        5393S
USC00228445        5764S
USC00228998        5564S
USC00229004        5249Q
USC00229048        6223R
USC00229079        5237S
USC00229173        5340R
USC00229216        5909R
USC00229230        5969Q
USC00229400        5023S
USC00229426        6443S
USC00229439        5908R
USC00229639        6119R
USC00229743        4932S
USC00229793        6347R
USC00229860        5796R
USC00230051        3639Q
USC00230127        4077R
USC00230143        3603S
USC00230163        4120Q
USC00230164        4127S
USC00230204        4012S
USC00230224        3765R
USC00230304        4154Q
USC00230360        3878Q
USC00230368        3857Q
USC00230608        3409R
USC00230657        4108R
USC00230789        4094S
USC00230817        4114R
USC00230856        3622R
USC00230980        3653S
USC00231037        3693S
USC00231087        3720R
USC00231101        3406R
USC00231145        4126S
USC00231189        3963S
USC00231212        4481R
USC00231275        3620R
USC00231340        3898S
USC00231356        4456R
USC00231364        4813R
USC00231383        3844R
USC00231540        4485R
USC00231580        3959R
USC00231600        3792Q
USC00231640        3843R
USC00231674        4288R
USC00231711        4039S
USC00231748        3904Q
USC00231801        4211R
USC00231822        3543R
USC00232240        4208R
USC00232289        4177R
USC00232302        3851R
USC00232503        4192R
USC00232511        4131R
USC00232568        3740R
USC00232591        4092S
USC00232619        4148Q
USC00232809        3879R
USC00232850        3914R
USC00232981        3704Q
USC00233038        3849R
USC00233043        3753R
USC00233079        3743S
USC00233094        4009R
USC00233102        3609R
USC00233162        4037Q
USC00233369        3300R
USC00233416        3281Q
USC00233451        3870R
USC00233483        3899R
USC00233568        3330R
USC00233601        3681S
USC00233838        3756R
USC00234019        3904R
USC00234154        3922R
USC00234226        4400R
USC00234271        4049S
USC00234382        3721Q
USC00234417        4864R
USC00234544        3332S
USC00234694        4098S
USC00234705        4273S
USC00234825        4001S
USC00234850        3884S
USC00234904        3973S
USC00234919        3898S
USC00234982        3500Q
USC00235027        4061S
USC00235050        3685R
USC00235207        4730R
USC00235227        3915R
USC00235253        4179S
USC00235307        3933C
USC00235340        3452S
USC00235492        3327R
USC00235541        3854R
USC00235671        3794S
USC00235704        4139S
USC00235708        3912Q
USC00235834        3847S
USC00235862        4102S
USC00235950        4384Q
USC00235976        4125R
USC00235987        4452S
USC00236012        3786S
USC00236045        4771R
USC00236302        3249R
USC00236357        3703R
USC00236402        4380R
USC00236460        4055S
USC00236641        3931R
USC00236745        3932R
USC00236777        4133R
USC00236791        4599S
USC00236804        4764S
USC00236826        3840R
USC00236866        3700R
USC00237116        3702Q
USC00237263        4134S
USC00237300        3530R
USC00237309        3776Q
USC00237397        3905S
USC00237398        4197S
USC00237452        4553R
USC00237475        4035R
USC00237506        4408S
USC00237514        3837S
USC00237578        4045S
USC00237632        3734S
USC00237645        3769R
USC00237656        4476Q
USC00237720        3507R
USC00237772        4934R
USC00237862        3797R
USC00237963        3465R
USC00238043        3596R
USC00238051        3963S
USC00238082        4134R
USC00238184        3815R
USC00238223        3935S
USC00238444        3621R
USC00238466        4078R
USC00238515        4284S
USC00238523        3395R
USC00238571        4075R
USC00238577        3676R
USC00238583        3838Q
USC00238603        3743S
USC00238620        4486R
USC00238664        4385Q
USC00238700        4603R
USC00238712        3906R
USC00238725        3756R
USC00238754        3924R
USC00238777        3637S
USC00238805        3941R
USC00238880        3953R
USC00238995        4057R
USC00239032        4021R
USC00239178        3989Q
USC00240075        1848Q
USC00240088        2341R
USC00240110        1330S
USC00240199        1440S
USC00240364        1690R
USC00240375        1254S
USC00240392         998R
USC00240412        2159Q
USC00240432        2404R
USC00240466        1881R
USC00240554        1861Q
USC00240743        2509S
USC00240755        1764S
USC00240770        2216R
USC00240775         762R
USC00240780        2170S
USC00240801        2428R
USC00240802        2689S
USC00240819        2601R
USC00240877        1281R
USC00240923        1939R
USC00241008        1475C
USC00241044        1785S
USC00241047        1669S
USC00241050         688R
USC00241084        2468S
USC00241088        2133S
USC00241102        2146R
USC00241127        2528S
USC00241169        2268S
USC00241262        1544Q
USC00241297        2125S
USC00241470        1890R
USC00241500        1805R
USC00241518        2076S
USC00241525        2003S
USC00241552        1984C
USC00241557        1281S
USC00241692        1796S
USC00241722        2065S
USC00241730        1727Q
USC00241737        1573S
USC00241758        2359S
USC00241875        2208C
USC00241905        2242S
USC00241938        2068S
USC00241974        1618R
USC00241984        2219S
USC00241995         530S
USC00242104        1411S
USC00242122        2348R
USC00242221        1807R
USC00242275        1153R
USC00242301        1258R
USC00242347        1555S
USC00242409        1586S
USC00242421        1268R
USC00242550        1686Q
USC00242629         953R
USC00242689        2190S
USC00242738        1298Q
USC00242793        1412S
USC00242827        1994S
USC00242857        1745S
USC00243013        2297S
USC00243089        2114R
USC00243098        2491S
USC00243110        2240S
USC00243113        2102S
USC00243139        1553R
USC00243176        2691S
USC00243378        2102R
USC00243437         636Q
USC00243445        2248R
USC00243489        1079S
USC00243530        1933S
USC00243557        2520R
USC00243570        1350R
USC00243581        2736S
USC00243617        1588S
USC00243727        1913S
USC00243749        2127Q
USC00243753        1906R
USC00243885        1796R
USC00243915        2770S
USC00243929        2270S
USC00243934        1406Q
USC00243939        1607R
USC00243984        1160R
USC00244007        2163R
USC00244038         996S
USC00244084        1453S
USC00244180        2353R
USC00244193        1794Q
USC00244241        2134S
USC00244297        1911R
USC00244328        1697S
USC00244345        2243S
USC00244358        2384S
USC00244364        2176S
USC00244368        2120R
USC00244386        2397S
USC00244447         720R
USC00244506        2106S
USC00244512        1834S
USC00244522        2222R
USC00244530        2223R
USC00244545        1331S
USC00244558        1455S
USC00244560        1570Q
USC00244820         790R
USC00244839        1937R
USC00244896        1357Q
USC00244954         956S
USC00245000        1676R
USC00245011        1771R
USC00245015        1975S
USC00245020         905S
USC00245030        1104S
USC00245040        1175R
USC00245043        1303S
USC00245080        1653S
USC00245123        1534Q
USC00245153        2164C
USC00245285        1927R
USC00245334        2447R
USC00245338        2277S
USC00245340        2290S
USC00245387        1426S
USC00245572        2070S
USC00245596        2613S
USC00245603        1155R
USC00245668        2195S
USC00245712        1207R
USC00245735        1832S
USC00245740        1747Q
USC00245754        2351S
USC00245761        1711C
USC00245870        2456S
USC00245872        2544R
USC00245961        1364S
USC00245983        2516R
USC00246007        1331Q
USC00246008        1418R
USC00246157        2651S
USC00246190        1776S
USC00246218        1066S
USC00246236        1651S
USC00246238        1475S
USC00246304        1025S
USC00246370        1878Q
USC00246472        1166R
USC00246580         923Q
USC00246586        2114R
USC00246601        2274S
USC00246615         866R
USC00246618         960Q
USC00246635        1842S
USC00246640        1988S
USC00246647        2277R
USC00246655        1418R
USC00246672        1977R
USC00246685        1060S
USC00246691        2575S
USC00246862        2138R
USC00246893        2047S
USC00246902        1771C
USC00246918        1481R
USC00246927        1822R
USC00247034        2181S
USC00247136        2193S
USC00247159        1570R
USC00247204        1738Q
USC00247214        2555S
USC00247220        2059Q
USC00247228        2139R
USC00247234        2407R
USC00247247        1924Q
USC00247248        1857Q
USC00247250        1940R
USC00247261        2197Q
USC00247263        1745S
USC00247265        2038R
USC00247286        1971S
USC00247292        1198R
USC00247318        1705R
USC00247342        2083Q
USC00247382        2569S
USC00247425        1886R
USC00247448        1346S
USC00247500        1769R
USC00247540        1838R
USC00247560        2580S
USC00247620        1928R
USC00247740        1734S
USC00247864        1802S
USC00247894        1965S
USC00247964        1125S
USC00247967         996Q
USC00247978         771Q
USC00247996        1719R
USC00248021        1767S
USC00248087        1271R
USC00248093        1716R
USC00248165        2381S
USC00248169        1904S
USC00248211        2277S
USC00248233        2065R
USC00248324        1825S
USC00248363        2060R
USC00248380        1626R
USC00248390        1964R
USC00248395        1718R
USC00248415        1939R
USC00248430        1495S
USC00248498        2032R
USC00248501        1759S
USC00248569        2265R
USC00248597        1491C
USC00248777        1794R
USC00248783        1686R
USC00248809        1372S
USC00248857         693R
USC00248858         827Q
USC00248902        1421R
USC00248930        1434R
USC00248957        2070S
USC00249023        1102S
USC00249033        1924S
USC00249067         636S
USC00249082         666R
USC00249103        2578R
USC00249175        2047R
USC00249187        1045Q
USC00249240        2635S
USC00249900        1547R
USC00250030        2227S
USC00250050        3059S
USC00250070        2918R
USC00250130        2611R
USC00250138        2428Q
USC00250245        2724C
USC00250355        2700R
USC00250365        2799S
USC00250375        3584S
USC00250420        2815S
USC00250435        3814C
USC00250445        3295S
USC00250525        2570R
USC00250622        3496R
USC00250640        3488C
USC00250760        3394S
USC00250865        3042S
USC00250930        3219R
USC00251130        2766R
USC00251145        3020R
USC00251149        2776Q
USC00251189        2645Q
USC00251200        2697S
USC00251213        2535R
USC00251345        2760R
USC00251361        2104Q
USC00251365        2786S
USC00251415        3197R
USC00251450        3108S
USC00251560        3608S
USC00251578        2801Q
USC00251590        2883R
USC00251602        2862Q
USC00251660        3077R
USC00251684        3259S
USC00251825        3416C
USC00251835        3016R
USC00251973        2652R
USC00251990        3040S
USC00252000        2756R
USC00252020        3655S
USC00252037        3051R
USC00252065        3249S
USC00252100        3040R
USC00252145        2477R
USC00252205        3128S
USC00252595        2856R
USC00252647        2433R
USC00252680        3157S
USC00252741        2955R
USC00252770        2751R
USC00252790        3065Q
USC00252805        3111S
USC00252820        3489S
USC00252840        3309S
USC00252980        3144Q
USC00253015        2541Q
USC00253037        3372R
USC00253050        3341S
USC00253065        3226Q
USC00253165        2648R
USC00253175        3578C
USC00253185        3160C
USC00253355        2556S
USC00253365        3118S
USC00253425        2853S
USC00253467        3309Q
USC00253515        3099R
USC00253595        3380R
USC00253605        2375S
USC00253615        2114S
USC00253617        2165Q
USC00253618        2517Q
USC00253630        2944S
USC00253652        2866Q
USC00253660        3254S
USC00253710        2427R
USC00253715        2511R
USC00253735        3519S
USC00253755        2599C
USC00253810        2886R
USC00253910        3168S
USC00254035        2917R
USC00254100        2470R
USC00254101        2466Q
USC00254110        2866S
USC00254335        3061R
USC00254432        2756R
USC00254440        2295S
USC00254455        2995S
USC00254755        2846Q
USC00254900        2856S
USC00254903        2578R
USC00254985        3022S
USC00255040        2954R
USC00255080        2956S
USC00255090        3010S
USC00255250        2902R
USC00255362        3258S
USC00255388        3276S
USC00255470        2880R
USC00255565        3289S
USC00255590        2669R
USC00255655        2983Q
USC00255700        2965R
USC00255702        2667R
USC00255810        3471S
USC00255868        2387R
USC00255925        2697S
USC00255960        3458R
USC00255997        2821R
USC00256018        2806R
USC00256040        2879S
USC00256075        2896S
USC00256135        2846C
USC00256167        2871S
USC00256200        3044S
USC00256290        2916C
USC00256375        3147S
USC00256385        2730S
USC00256395        2995S
USC00256439        3147R
USC00256454        3259R
USC00256570        3650S
USC00256765        2429Q
USC00256970        2791R
USC00257002        3327R
USC00257040        2901S
USC00257055        3300Q
USC00257070        3335S
USC00257110        3045S
USC00257318        2792R
USC00257401        3601Q
USC00257415        2437R
USC00257515        3475S
USC00257667        2765Q
USC00257715        3388S
USC00257830        2662R
USC00258088        3328Q
USC00258090        2819R
USC00258110        3170R
USC00258117        2971Q
USC00258133        2776R
USC00258320        3483C
USC00258328        3545R
USC00258360        2662R
USC00258395        3495S
USC00258410        3492Q
USC00258455        2859Q
USC00258465        3487S
USC00258480        3120S
USC00258628        3379S
USC00258650        2592R
USC00258751        2961R
USC00258755        3104R
USC00258795        3442R
USC00258875        3423R
USC00258905        3314R
USC00258915        3153S
USC00258920        2880S
USC00258935        3186S
USC00259020        3113Q
USC00259045        2926R
USC00259090        3376S
USC00259193        3145Q
USC00259200        3121S
USC00259510        3774S
USC00259513        3236Q
USC00260125        7890Q
USC00260150        5814S
USC00260438        1576R
USC00260507        2355R
USC00260718        4455R
USC00260795        2420R
USC00260800        1915S
USC00260955        3159S
USC00261071        6838R
USC00261327        6032R
USC00261358        3405R
USC00261371        7928R
USC00261415        2348R
USC00261485        2446S
USC00261590        2724Q
USC00261660         904Q
USC00261684        2498Q
USC00261740        1863R
USC00261905        1904R
USC00262119        1128R
USC00262189        1508R
USC00262229        2463S
USC00262243        5668S
USC00262296        1715R
USC00262390        2477R
USC00262394        2010R
USC00262431        2864R
USC00262497        7637R
USC00262557        4434R
USC00262570        2145R
USC00262656        2450R
USC00262708        1986S
USC00262780        2950R
USC00263090        3300R
USC00263114        1697R
USC00263205        1494S
USC00263245        2465R
USC00263285        3026R
USC00263316        5453Q
USC00263340        2256R
USC00263512        3723R
USC00263671        3972R
USC00263957        2804S
USC00263964        1909Q
USC00264016        1631R
USC00264039        1564R
USC00264095        1647R
USC00264236        2450R
USC00264253        2783Q
USC00264341        2190R
USC00264349        3828R
USC00264384        2390R
USC00264391        1332Q
USC00264394        1733R
USC00264439        6736R
USC00264480        8643R
USC00264491        1823Q
USC00264527        2761S
USC00264698        2815S
USC00264745        1872S
USC00264935        1928S
USC00264950        2268S
USC00265087        7164Q
USC00265092        2437R
USC00265132        2192R
USC00265168        3744R
USC00265191        2258R
USC00265352        2072R
USC00265371        1640Q
USC00265392        1138R
USC00265400        1595R
USC00265705        7133R
USC00265722        1681R
USC00265818        2250S
USC00265846        7338R
USC00265880        4633R
USC00265890        5503S
