AQW00061705       15214C
USC00146333        6031S
USC00146374        6106R
USC00146378        6101R
USC00146435        5866R
USC00146498        6398R
USC00146549        6511R
USC00146637        5874S
USC00146808        6136S
USC00147042        6182Q
USC00147049        5684R
USC00147050        5726R
USC00147093        5540S
USC00147271        5816R
USC00147305        7119S
USC00147397        5719C
USC00147534        6721R
USC00147542        6205S
USC00147551        6399R
USC00147796        6614S
USC00147922        6749R
USC00148038        6389S
USC00148061        6412Q
USC00148191        6724R
USC00148235        5723S
USC00148240        5615R
USC00148250        6053S
USC00148259        6112S
USC00148287        6049S
USC00148495        6300S
USC00148535        5880Q
USC00148563        6184R
USC00148578        6134S
USC00148648        6216R
USC00148670        6954S
USC00148914        6593R
USC00148946        6421S
USC00148964        6678S
USC00148988        5774R
USC00149080        6469S
USC00150254        5821S
USC00150381        6231S
USC00150397        6708R
USC00150402        7165R
USC00150422        7464S
USC00150450        6313S
USC00150483        6244Q
USC00150490        6731R
USC00150619        7144R
USC00150630        6927R
USC00150858        6090Q
USC00150860        5958Q
USC00150940        6439S
USC00150955        6276R
USC00151080        6293Q
USC00151227        6769Q
USC00151318        6205Q
USC00151345        6574R
USC00151517        5759Q
USC00151810        6033Q
USC00151890        6659R
USC00151895        6052Q
USC00151900        6264R
USC00151998        6140R
USC00152040        6405R
USC00152214        6358R
USC00152409        6107R
USC00152442        7588Q
USC00152512        6290R
USC00152575        6829Q
USC00152775        5954R
USC00152791        6622S
USC00153028        6140R
USC00153223        7864R
USC00153230        6187Q
USC00153246        7469R
USC00153295        7232R
USC00153382        5615R
USC00153389        5863R
USC00153391        5680R
USC00153430        6697S
USC00153604        7120R
USC00153741        6326R
USC00153744        6113Q
USC00153762        6888R
USC00153929        6734S
USC00153994        7106R
USC00154138        5853Q
USC00154208        6228R
USC00154375        7178Q
USC00154703        6004S
USC00154958        6601Q
USC00154967        7459R
USC00155067        7369R
USC00155097        7396R
USC00155111        6057R
USC00155165        6695Q
USC00155233        7403R
USC00155243        6141R
USC00155280        6435Q
USC00155389        6397R
USC00155524        6514S
USC00155640        5845R
USC00155648        6384S
USC00155694        7489R
USC00155834        6907S
USC00156012        5396Q
USC00156028        6321Q
USC00156091        7533R
USC00156117        7533R
USC00156136        6350R
USC00156224        6508Q
USC00156580        7336S
USC00156595        7167R
USC00156882        6997R
USC00156988        6490S
USC00157049        6909R
USC00157215        6778S
USC00157324        5935R
USC00157510        6425R
USC00157592        6889Q
USC00157652        5982Q
USC00157677        5989S
USC00157800        6549R
USC00158432        5513Q
USC00158446        6031R
USC00158551        5653R
USC00158553        5958Q
USC00158555        6913Q
USC00158709        6188R
USC00158714        6579R
USC00158824        6507Q
USC00160098        9893S
USC00160103        9329R
USC00160205        9718S
USC00160349        9071S
USC00160537        8685S
USC00160718        9062Q
USC00160800        9067R
USC00160945        9822R
USC00161232        9836S
USC00161246        9813R
USC00161287        9871S
USC00161292       10938R
USC00161411        8702S
USC00161565       10326S
USC00161899        9290S
USC00161941        9344Q
USC00161979        9016R
USC00162151        9770R
USC00162212       10217S
USC00162361        9692R
USC00162367        9903S
USC00162534       10199C
USC00162800        9761R
USC00162981       10504R
USC00163079        8998R
USC00163313       10300R
USC00163327        9874R
USC00163433       10677S
USC00163800       10223S
USC00163979       10772R
USC00164030        9860S
USC00164288        9604Q
USC00164355        8450R
USC00164407       10785R
USC00164674       10388S
USC00164696        9152R
USC00164700       10253C
USC00164739        9703R
USC00165021       10126R
USC00165065       10726R
USC00165090        9087C
USC00165146        9630Q
USC00165266        9425R
USC00165296       10335R
USC00165527        9076R
USC00165620       10110S
USC00165624       10849R
USC00165630        9780S
USC00165874        9064R
USC00165892        9365R
USC00165926       10367R
USC00166244        8920S
USC00166314        9030S
USC00166364        9154Q
USC00166394       10528S
USC00166434       10033Q
USC00166582        9883S
USC00166584        9675Q
USC00166657       10684R
USC00166686       10199S
USC00166938        9994R
USC00166978        9241R
USC00167344        8853R
USC00167691        9348R
USC00167738        9341S
USC00167767       10489S
USC00167924        9107Q
USC00167932       10217S
USC00168046        9458S
USC00168067        8615R
USC00168108       10535R
USC00168163        9611S
USC00168181       10028Q
USC00168444        9111Q
USC00168448        9306Q
USC00168539       10139S
USC00168543        9983R
USC00168923        9276S
USC00168941       10934R
USC00169013       10471R
USC00169074        9647Q
USC00169803        9245R
USC00169804        9384Q
USC00169806        9447S
USC00170100        4250S
USC00170200        2859R
USC00170398        3457R
USC00170480        3587S
USC00170655        3372Q
USC00170814        3080S
USC00170833        3323S
USC00170844        3620S
USC00171472        2847R
USC00171628        3666S
USC00171833        3461R
USC00171975        3414R
USC00172048        3627R
USC00172238        3595S
USC00172426        3369R
USC00172620        3850R
USC00172623        3699Q
USC00172700        2867R
USC00172765        3551C
USC00172878        2909S
USC00173046        3952S
USC00173261        3818R
USC00173295        4161R
USC00173353        3316Q
USC00173417        3405Q
USC00173570        3290R
USC00173862        3729R
USC00173944        3488R
USC00174086        3065S
USC00174183        3427R
USC00174193        3608R
USC00174566        4054R
USC00174683        3753Q
USC00174781        2916S
USC00174927        3705S
USC00175261        3134R
USC00175304        3561S
USC00175347        3668Q
USC00175675        3970S
USC00176430        4169R
USC00176594        3207R
USC00176721        2939R
USC00176856        3915Q
USC00176875        3290Q
USC00176881        3483R
USC00176937        3502S
USC00177037        2996S
USC00177039        2868R
USC00177174        3209R
USC00177238        3404R
USC00177325        3825S
USC00177479        4489S
USC00177654        3439R
USC00178353        3564R
USC00178792        3569Q
USC00178817        3910Q
USC00178965        2993S
USC00178974        3620R
USC00179151        3968S
USC00179294        3505R
USC00179314        3944S
USC00179547        3730Q
USC00179593        3792S
USC00179891        3736S
USC00180193        7351R
USC00180335        6715R
USC00180700        6323S
USC00180732        6781R
USC00181385        7182R
USC00181530        5589S
USC00181750        6361S
USC00181862        6012R
USC00181995        6814R
USC00182060        6327R
USC00182282        6227S
USC00182308        5789Q
USC00182325        6730S
USC00182335        6071R
USC00182336        5795R
USC00182906        5547S
USC00183348        6696R
USC00183353        5956Q
USC00183415        4528S
USC00183675        6129R
USC00184030        5561R
USC00185080        6809R
USC00185111        6676R
USC00185832        4529R
USC00185865        6143S
USC00185934        5534R
USC00185985        6442R
USC00186350        6975S
USC00186620        4346S
USC00186770        6575R
USC00186800        6754Q
USC00187330        6498R
USC00187705        6381R
USC00187806        6965S
USC00188000        7128S
USC00188065        4733S
USC00188207        5637R
USC00188371        5563Q
USC00188380        6861C
USC00188405        7225Q
USC00188557        6530Q
USC00189030        5786R
USC00189070        6327R
USC00189140        7079S
USC00189440        5954R
USC00189570        5719Q
USC00189750        6282R
USC00190120        4490S
USC00190190        4155Q
USC00190192        3862Q
USC00190213        3562Q
USC00190408        3812R
USC00190535        4669R
USC00190562        4411Q
USC00190593        4212R
USC00190666        3957R
USC00190759        3898R
USC00190840        4566Q
USC00190860        4605S
USC00190998        4393R
USC00191386        4465S
USC00191774        3932R
USC00191821        4001Q
USC00192107        4479S
USC00192451        4700R
USC00192501        5112S
USC00193213        4499R
USC00193229        4251Q
USC00193276        4470R
USC00193505        4479S
USC00193624        4957S
USC00193821        4721R
USC00193890        5034R
USC00193985        4012R
USC00194075        3848R
USC00194105        5012S
USC00194131        4078R
USC00194313        4651R
USC00194502        4777R
USC00194580        4809S
USC00194711        4606Q
USC00194744        5135S
USC00195175        4559Q
USC00195246        5310R
USC00195984        4642R
USC00196245        4480R
USC00196486        4773S
USC00196783        4713S
USC00196938        4933S
USC00197230        3652Q
USC00197627        4348R
USC00198367        5010R
USC00198573        4277R
USC00198757        4963S
USC00199193        4521Q
USC00199316        4780R
USC00199371        3760Q
USC00199972        3779R
USC00200032        4590S
USC00200089        3405R
USC00200106        4790Q
USC00200128        4357R
USC00200146        4423C
USC00200166        3618R
USC00200197        3292Q
USC00200220        4626Q
USC00200228        4652Q
USC00200230        5053S
USC00200342        3506Q
USC00200343        3665R
USC00200361        4236Q
USC00200417        4175S
USC00200446        4189R
USC00200718        3203S
USC00200758        4139Q
USC00200770        3501R
USC00200779        3958S
USC00200842        4725Q
USC00200864        4463R
USC00200925        4347C
USC00201052        4282Q
USC00201150        4417Q
USC00201238        4208Q
USC00201250        4646Q
USC00201299        4321R
USC00201343        4240Q
USC00201361        4133R
USC00201435        2912Q
USC00201439        2929R
USC00201468        4231R
USC00201476        4468S
USC00201486        3318R
USC00201492        3628R
USC00201502        4617Q
USC00201675        4694S
USC00201780        3223R
USC00201802        3584R
USC00201818        4378Q
USC00201896        3619S
USC00202015        5143S
USC00202016        4988Q
USC00202094        3505S
USC00202250        4585S
USC00202308        5056Q
USC00202328        4550Q
USC00202381        4086C
USC00202395        4843R
USC00202423        3980S
USC00202427        4953Q
USC00202445        5435S
USC00202503        3587Q
USC00202631        4697S
USC00202691        4582Q
USC00202737        3642R
USC00202788        4111Q
USC00202804        3961R
USC00202851        4410Q
USC00202955        4233Q
USC00202984        4024S
USC00203025        4182Q
USC00203096        3726S
USC00203099        3576R
USC00203188        3552Q
USC00203278        4503Q
USC00203290        4711R
USC00203295        4171Q
USC00203391        3543S
USC00203429        4403R
USC00203477        4709S
USC00203504        5219R
USC00203529        3813S
USC00203585        3803S
USC00203628        3663R
USC00203632        4060R
USC00203661        4452S
USC00203712        4563Q
USC00203744        3165R
USC00203769        4109R
USC00203823        4565R
USC00203858        4929R
USC00203913        4322Q
USC00203930        3765R
USC00203932        3588R
USC00203947        4729Q
USC00204078        4458S
USC00204090        3730S
USC00204104        3377S
USC00204130        3417Q
USC00204257        3557R
USC00204258        3527Q
USC00204399        4184Q
USC00204502        3670S
USC00204655        4399S
USC00204659        4533Q
USC00204793        4444Q
USC00204808        4200Q
USC00204954        4223R
USC00204967        3617R
USC00205050        4627Q
USC00205065        4344S
USC00205073        3195S
USC00205097        4266R
USC00205168        4114Q
USC00205434        4630S
USC00205450        4811R
USC00205451        4856Q
USC00205452        4488R
USC00205531        3927R
USC00205533        3783Q
USC00205558        5069R
USC00205563        5046Q
USC00205567        4213S
USC00205591        3227Q
USC00205603        4828Q
USC00205662        4337R
USC00205690        3271R
USC00205810        3014Q
USC00205816        3179R
USC00205822        4915Q
USC00206007        3733Q
USC00206012        4248R
USC00206158        4005R
USC00206184        4058S
USC00206220        3747S
USC00206300        4549S
USC00206442        3428Q
USC00206507        3702S
USC00206510        3633Q
USC00206583        3408Q
USC00206587        4123Q
USC00206658        4611R
USC00206662        4068Q
USC00206663        3923R
USC00206680        4752R
USC00206982        4413Q
USC00207094        3785S
USC00207190        3397R
USC00207222        4614Q
USC00207225        4380Q
USC00207253        4325R
USC00207274        3635S
USC00207277        3690R
USC00207280        4632S
USC00207308        4688Q
USC00207312        4736Q
USC00207320        4748Q
USC00207350        4308R
USC00207364        3290R
USC00207515        3847R
USC00207684        3877Q
USC00207690        5038S
USC00207812        2969S
USC00207820        3898S
USC00207867        3584R
USC00208043        2886R
USC00208080        4756Q
USC00208184        4926S
USC00208202        4739Q
USC00208249        4103Q
USC00208293        3350R
USC00208345        3112Q
USC00208417        3413S
USC00208443        4157Q
USC00208680        3092R
USC00208706        3071Q
USC00208774        4073Q
USC00208800        3790S
USC00208920        3015S
USC00208941        4361R
USC00208972        4373Q
USC00209188        4121Q
USC00210018        3999R
USC00210050        3989R
USC00210059        3592R
USC00210075        4525S
USC00210157        4872R
USC00210190        4150Q
USC00210252        3672C
USC00210287        4379S
USC00210355        4370S
USC00210387        3124R
USC00210515        3696R
USC00210564        2956Q
USC00210643        3423R
USC00210667        4350S
USC00210746        3693R
USC00210809        3372R
USC00210939        3754S
USC00210973        4343Q
USC00210989        2838R
USC00211063        4230R
USC00211065        4405Q
USC00211074        3409R
USC00211107        4316R
USC00211174        4168R
USC00211198        4339S
USC00211227        4217R
USC00211245        4118R
USC00211250        3373Q
USC00211263        4560S
USC00211374        3578S
USC00211390        4393R
USC00211448        4538R
USC00211465        4948R
USC00211468        4407Q
USC00211630        3495S
USC00211691        4579S
USC00211771        3393Q
USC00211776        3519R
USC00211840        3072R
USC00211891        3844S
USC00212015        4321Q
USC00212023        4617Q
USC00212050        3887R
USC00212088        4374R
USC00212142        4222R
USC00212246        3015R
USC00212500        4502Q
USC00212543        3311R
USC00212555        3285Q
USC00212576        2529R
USC00212645        3312R
USC00212698        4821S
USC00212721        4335S
USC00212737        4664S
USC00212768        4128R
USC00212842        3164R
USC00212881        4472S
USC00212916        3530R
USC00213076        4458S
USC00213104        4228S
USC00213174        4326S
USC00213282        2743S
USC00213290        4077S
USC00213296        2729R
USC00213303        3675C
USC00213311        4380Q
USC00213411        3856S
USC00213417        3000R
USC00213455        3567R
USC00213567        4570R
USC00213793        3608R
USC00213962        4465S
USC00214103        3579R
USC00214106        3367S
USC00214176        4304R
USC00214191        3157Q
USC00214306        3260R
USC00214373        4126Q
USC00214453        4362R
USC00214534        4456S
USC00214546        4490S
USC00214652        3735S
USC00214778        4293S
USC00214793        4429S
USC00214809        3249R
USC00214861        3821S
USC00214884        5151R
USC00214918        2721R
USC00214937        4724R
USC00214994        4514S
USC00215012        3963R
USC00215073        4606R
USC00215175        3311R
USC00215204        4571S
USC00215325        4009R
USC00215392        3868S
USC00215400        4733S
USC00215563        4362R
USC00215586        4326R
USC00215598        3779S
USC00215615        3928R
USC00215638        4153S
USC00215838        4620R
USC00215842        4553S
USC00215887        4741S
USC00215902        3804Q
USC00215989        3391Q
USC00216148        3632R
USC00216152        4341S
USC00216211        2863Q
USC00216228        4196Q
USC00216276        4096R
USC00216287        4555S
USC00216547        3815S
USC00216565        4369S
USC00216612        3657Q
USC00216654        4407S
USC00216787        3734S
USC00216795        3686R
USC00216822        4607R
USC00216839        4553Q
USC00216920        3994Q
USC00217087        3468R
USC00217107        4475S
USC00217149        4102R
USC00217184        4353R
USC00217326        4546S
USC00217377        4671R
USC00217379        4649Q
USC00217405        4720S
USC00217460        3752Q
USC00217502        4378S
USC00217907        4494S
USC00217935        4721Q
USC00218025        4546R
USC00218037        5159R
USC00218039        4381Q
USC00218191        3694R
USC00218227        4394R
USC00218247        3822R
USC00218254        3562R
USC00218307        3310Q
USC00218311        2975S
USC00218323        4608S
USC00218419        3165S
USC00218421        3118R
USC00218429        4428R
USC00218450        4940R
USC00218477        4990R
USC00218579        3637S
USC00218618        3775R
USC00218621        3839Q
USC00218679        3416S
USC00218692        4616S
USC00218700        3321R
USC00218808        4681R
USC00218907        4264S
USC00218947        4255Q
USC00218986        3974R
USC00219004        4439S
USC00219033        4844S
USC00219046        4647S
USC00219067        5204R
USC00219072        4588R
USC00219101        3497R
USC00219134        3149R
USC00219170        4424S
USC00219173        3535S
USC00219249        4198S
USC00220021        8383S
USC00220488        8047R
USC00220521        9273R
USC00220585        9512R
USC00220660        9079S
USC00220792       10375R
USC00220955        7567R
USC00221094        9038S
USC00221111        8813Q
USC00221314        8237S
USC00221389        8720R
USC00221489        8585R
USC00221606        8268R
USC00221707        8335S
USC00221738        8692R
USC00221743        8555R
USC00221852        9057S
USC00221865        9598R
USC00221880        8782R
USC00221962        7583S
USC00222094        9590R
USC00222282        8274Q
USC00222385        8664R
USC00222896        8114R
USC00223107        8701S
USC00223208        7885S
USC00223605        8780R
USC00223645        8054S
USC00223671       10152R
USC00223887        9580S
USC00223920        9574S
USC00223975        8663R
USC00224001        7652S
USC00224173        7465S
USC00224265        7654R
USC00224377        7782R
USC00224455        7246S
USC00224702        8363R
USC00224776        8166R
USC00224869        8525Q
USC00224939        9174S
USC00225062        8172R
USC00225070        9176R
USC00225247        8365R
USC00225361        8581R
USC00225704        9407R
USC00225789        9425R
USC00225897        8854R
USC00225987        9435R
USC00226009        8912S
USC00226177        9308S
USC00226308        8512S
USC00226476        9139R
USC00226527        7773R
USC00226638        9237Q
USC00226718        9563R
USC00226811        9204R
USC00226894        9029S
USC00226921        9724R
USC00226926        8602R
USC00227111        7923S
USC00227128        9579R
USC00227132        8813S
USC00227252        8863R
USC00227276        8471Q
USC00227444        8775R
USC00227467        7468R
USC00227560        9077S
USC00227815        8307Q
USC00227831        8950Q
USC00227840       10407S
USC00227921        8054Q
USC00228374        8415S
USC00228445        8813S
USC00228998        8548S
USC00229004        8206Q
USC00229048        9528R
USC00229079        8180S
USC00229173        8316R
USC00229216        9101R
USC00229230        9146Q
USC00229400        7954S
USC00229426        9832S
USC00229439        9129R
USC00229639        9442R
USC00229743        7884S
USC00229793        9675R
USC00229860        8897R
USC00230051        5885Q
USC00230127        6644R
USC00230143        5893S
USC00230163        6781Q
USC00230164        6773S
USC00230204        6477S
USC00230224        6255R
USC00230304        6712Q
USC00230360        6421Q
USC00230368        6371Q
USC00230608        5621R
USC00230657        6664R
USC00230789        6623S
USC00230817        6557R
USC00230856        5959R
USC00230980        5959S
USC00231037        6044S
USC00231087        6193R
USC00231101        5810R
USC00231145        6586S
USC00231189        6418S
USC00231212        7179R
USC00231275        5917R
USC00231340        6260S
USC00231356        7101R
USC00231364        7565R
USC00231383        6364R
USC00231540        7153R
USC00231580        6323R
USC00231600        6143Q
USC00231640        6221R
USC00231674        6877R
USC00231711        6489S
USC00231748        6343Q
USC00231801        6719R
USC00231822        5803R
USC00232240        6803R
USC00232289        6770R
USC00232302        6414R
USC00232503        6700R
USC00232511        6674R
USC00232568        6110R
USC00232591        6587S
USC00232619        6708Q
USC00232809        6381R
USC00232850        6387R
USC00232981        6188Q
USC00233038        6332R
USC00233043        6186R
USC00233079        6158S
USC00233094        6547R
USC00233102        5908R
USC00233162        6581Q
USC00233369        5494R
USC00233416        5501Q
USC00233451        6391R
USC00233483        6405R
USC00233568        5543R
USC00233601        6003S
USC00233838        6112R
USC00234019        6415R
USC00234154        6342R
USC00234226        6962R
USC00234271        6527S
USC00234382        6068Q
USC00234417        7582R
USC00234544        5546S
USC00234694        6638S
USC00234705        6861S
USC00234825        6513S
USC00234850        6325S
USC00234904        6404S
USC00234919        6382S
USC00234982        5758Q
USC00235027        6578S
USC00235050        5992R
USC00235207        7417R
USC00235227        6401R
USC00235253        6803S
USC00235307        6428C
USC00235340        5671S
USC00235492        5539R
USC00235541        6260R
USC00235671        6199S
USC00235704        6722S
USC00235708        6327Q
USC00235834        6333S
USC00235862        6655S
USC00235950        7039Q
USC00235976        6692R
USC00235987        7040S
USC00236012        6163S
USC00236045        7473R
USC00236302        5602R
USC00236357        5995R
USC00236402        6933R
USC00236460        6644S
USC00236641        6416R
USC00236745        6344R
USC00236777        6661R
USC00236791        7265S
USC00236804        7488S
USC00236826        6321R
USC00236866        6016R
USC00237116        6036Q
USC00237263        6641S
USC00237300        5891R
USC00237309        6249Q
USC00237397        6357S
USC00237398        6694S
USC00237452        7130R
USC00237475        6503R
USC00237506        7053S
USC00237514        6212S
USC00237578        6447S
USC00237632        6108S
USC00237645        6308R
USC00237656        7135Q
USC00237720        5787R
USC00237772        7657R
USC00237862        6136R
USC00237963        5692R
USC00238043        5998R
USC00238051        6382S
USC00238082        6647R
USC00238184        6331R
USC00238223        6343S
USC00238444        5888R
USC00238466        6545R
USC00238515        6859S
USC00238523        5585R
USC00238571        6658R
USC00238577        6016R
USC00238583        6376Q
USC00238603        6163S
USC00238620        7101R
USC00238664        6984Q
USC00238700        7280R
USC00238712        6331R
USC00238725        6167R
USC00238754        6471R
USC00238777        6083S
USC00238805        6401R
USC00238880        6498R
USC00238995        6656R
USC00239032        6465R
USC00239178        6560Q
USC00240075        3710Q
USC00240088        4208R
USC00240110        2980S
USC00240199        3125S
USC00240364        3594R
USC00240375        2783S
USC00240392        2574R
USC00240412        3940Q
USC00240432        4341R
USC00240466        3791R
USC00240554        3578Q
USC00240743        4495S
USC00240755        3653S
USC00240770        4149R
USC00240775        2124R
USC00240780        4156S
USC00240801        4453R
USC00240802        4849S
USC00240819        4636R
USC00240877        2963R
USC00240923        3687R
USC00241008        3149C
USC00241044        3603S
USC00241047        3474S
USC00241050        2075R
USC00241084        4447S
USC00241088        3912S
USC00241102        4045R
USC00241127        4490S
USC00241169        4128S
USC00241262        3339Q
USC00241297        4001S
USC00241470        3785R
USC00241500        3704R
USC00241518        3879S
USC00241525        3942S
USC00241552        4055C
USC00241557        3028S
USC00241692        3530S
USC00241722        3891S
USC00241730        3557Q
USC00241737        3393S
USC00241758        4231S
USC00241875        4094C
USC00241905        4165S
USC00241938        4028S
USC00241974        3404R
USC00241984        4108S
USC00241995        1721S
USC00242104        3095S
USC00242122        4199R
USC00242221        3711R
USC00242275        2744R
USC00242301        2862R
USC00242347        3306S
USC00242409        3372S
USC00242421        2842R
USC00242550        3447Q
USC00242629        2439R
USC00242689        4024S
USC00242738        2915Q
USC00242793        3140S
USC00242827        3903S
USC00242857        3596S
USC00243013        4322S
USC00243089        3901R
USC00243098        4472S
USC00243110        4165S
USC00243113        4024S
USC00243139        3292R
USC00243176        4691S
USC00243378        3999R
USC00243437        1872Q
USC00243445        4297R
USC00243489        2690S
USC00243530        3776S
USC00243557        4422R
USC00243570        3008R
USC00243581        4705S
USC00243617        3397S
USC00243727        3826S
USC00243749        4170Q
USC00243753        3800R
USC00243885        3645R
USC00243915        4880S
USC00243929        4219S
USC00243934        3066Q
USC00243939        3335R
USC00243984        2723R
USC00244007        3998R
USC00244038        2401S
USC00244084        3229S
USC00244180        4251R
USC00244193        3698Q
USC00244241        4197S
USC00244297        3776R
USC00244328        3412S
USC00244345        4203S
USC00244358        4386S
USC00244364        4040S
USC00244368        4006R
USC00244386        4313S
USC00244447        2022R
USC00244506        4011S
USC00244512        3611S
USC00244522        4030R
USC00244530        4104R
USC00244545        2973S
USC00244558        3156S
USC00244560        3334Q
USC00244820        2119R
USC00244839        3716R
USC00244896        3033Q
USC00244954        2388S
USC00245000        3451R
USC00245011        3612R
USC00245015        3884S
USC00245020        2425S
USC00245030        2596S
USC00245040        2779R
USC00245043        2869S
USC00245080        3533S
USC00245123        3255Q
USC00245153        4103C
USC00245285        3664R
USC00245334        4395R
USC00245338        4131S
USC00245340        4169S
USC00245387        3200S
USC00245572        3815S
USC00245596        4689S
USC00245603        2755R
USC00245668        4011S
USC00245712        2789R
USC00245735        3653S
USC00245740        3562Q
USC00245754        4214S
USC00245761        3504C
USC00245870        4445S
USC00245872        4570R
USC00245961        3026S
USC00245983        4429R
USC00246007        3008Q
USC00246008        3143R
USC00246157        4844S
USC00246190        3778S
USC00246218        2563S
USC00246236        3305S
USC00246238        3044S
USC00246304        2497S
USC00246370        3728Q
USC00246472        2818R
USC00246580        2380Q
USC00246586        3900R
USC00246601        4106S
USC00246615        2342R
USC00246618        2468Q
USC00246635        3723S
USC00246640        3918S
USC00246647        4156R
USC00246655        3099R
USC00246672        3769R
USC00246685        2556S
USC00246691        4502S
USC00246862        4104R
USC00246893        3807S
USC00246902        3664C
USC00246918        3171R
USC00246927        3503R
USC00247034        4007S
USC00247136        4036S
USC00247159        3315R
USC00247204        3580Q
USC00247214        4661S
USC00247220        3954Q
USC00247228        4052R
USC00247234        4377R
USC00247247        3752Q
USC00247248        3704Q
USC00247250        3758R
USC00247261        4167Q
USC00247263        3520S
USC00247265        3831R
USC00247286        3963S
USC00247292        2788R
USC00247318        3551R
USC00247342        3901Q
USC00247382        4500S
USC00247425        3611R
USC00247448        2979S
USC00247500        3602R
USC00247540        3768R
USC00247560        4533S
USC00247620        3723R
USC00247740        3443S
USC00247864        3683S
USC00247894        3933S
USC00247964        2762S
USC00247967        2502Q
USC00247978        2121Q
USC00247996        3508R
USC00248021        3713S
USC00248087        2922R
USC00248093        3473R
USC00248165        4230S
USC00248169        3644S
USC00248211        4322S
USC00248233        3995R
USC00248324        3735S
USC00248363        3982R
USC00248380        3458R
USC00248390        3903R
USC00248395        3533R
USC00248415        3740R
USC00248430        3268S
USC00248498        3870R
USC00248501        3619S
USC00248569        4117R
USC00248597        3178C
USC00248777        3447R
USC00248783        3509R
USC00248809        3021S
USC00248857        1956R
USC00248858        2211Q
USC00248902        3040R
USC00248930        3114R
USC00248957        3857S
USC00249023        2634S
USC00249033        3753S
USC00249067        1914S
USC00249082        1995R
USC00249103        4486R
USC00249175        3952R
USC00249187        2602Q
USC00249240        4773S
USC00249900        3273R
USC00250030        4144S
USC00250050        5206S
USC00250070        4968R
USC00250130        4598R
USC00250138        4392Q
USC00250245        4753C
USC00250355        4710R
USC00250365        4848S
USC00250375        5790S
USC00250420        4823S
USC00250435        6115C
USC00250445        5480S
USC00250525        4528R
USC00250622        5694R
USC00250640        5699C
USC00250760        5621S
USC00250865        5197S
USC00250930        5382R
USC00251130        4777R
USC00251145        5176R
USC00251149        4856Q
USC00251189        4638Q
USC00251200        4704S
USC00251213        4535R
USC00251345        4759R
USC00251361        3990Q
USC00251365        4783S
USC00251415        5349R
USC00251450        5276S
USC00251560        5896S
USC00251578        4819Q
USC00251590        4937R
USC00251602        4954Q
USC00251660        5145R
USC00251684        5435S
USC00251825        5563C
USC00251835        5105R
USC00251973        4741R
USC00251990        5102S
USC00252000        4878R
USC00252020        5919S
USC00252037        5106R
USC00252065        5429S
USC00252100        5158R
USC00252145        4498R
USC00252205        5215S
USC00252595        4909R
USC00252647        4360R
USC00252680        5334S
USC00252741        5037R
USC00252770        4778R
USC00252790        5169Q
USC00252805        5233S
USC00252820        5715S
USC00252840        5485S
USC00252980        5246Q
USC00253015        4537Q
USC00253037        5576R
USC00253050        5505S
USC00253065        5391Q
USC00253165        4590R
USC00253175        5866C
USC00253185        5315C
USC00253355        4495S
USC00253365        5276S
USC00253425        4893S
USC00253467        5446Q
USC00253515        5245R
USC00253595        5587R
USC00253605        4363S
USC00253615        3932S
USC00253617        4004Q
USC00253618        4518Q
USC00253630        4996S
USC00253652        4879Q
USC00253660        5429S
USC00253710        4380R
USC00253715        4475R
USC00253735        5740S
USC00253755        4618C
USC00253810        4992R
USC00253910        5329S
USC00254035        4973R
USC00254100        4427R
USC00254101        4430Q
USC00254110        4928S
USC00254335        5174R
USC00254432        4789R
USC00254440        4238S
USC00254455        5100S
USC00254755        4962Q
USC00254900        4906S
USC00254903        4603R
USC00254985        5127S
USC00255040        4977R
USC00255080        5010S
USC00255090        5098S
USC00255250        4977R
USC00255362        5401S
USC00255388        5456S
USC00255470        4943R
USC00255565        5466S
USC00255590        4708R
USC00255655        5089Q
USC00255700        5068R
USC00255702        4673R
USC00255810        5709S
USC00255868        4352R
USC00255925        4663S
USC00255960        5653R
USC00255997        4841R
USC00256018        4806R
USC00256040        4972S
USC00256075        4987S
USC00256135        4885C
USC00256167        4947S
USC00256200        5173S
USC00256290        4925C
USC00256375        5259S
USC00256385        4753S
USC00256395        5018S
USC00256439        5330R
USC00256454        5444R
USC00256570        5912S
USC00256765        4422Q
USC00256970        4846R
USC00257002        5534R
USC00257040        4950S
USC00257055        5447Q
USC00257070        5456S
USC00257110        5177S
USC00257318        4884R
USC00257401        5859Q
USC00257415        4360R
USC00257515        5687S
USC00257667        4820Q
USC00257715        5547S
USC00257830        4720R
USC00258088        5491Q
USC00258090        4869R
USC00258110        5287R
USC00258117        5033Q
USC00258133        4825R
USC00258320        5686C
USC00258328        5773R
USC00258360        4696R
USC00258395        5690S
USC00258410        5705Q
USC00258455        4880Q
USC00258465        5699S
USC00258480        5205S
USC00258628        5600S
USC00258650        4602R
USC00258751        5000R
USC00258755        5284R
USC00258795        5621R
USC00258875        5632R
USC00258905        5471R
USC00258915        5276S
USC00258920        4935S
USC00258935        5254S
USC00259020        5244Q
USC00259045        4966R
USC00259090        5578S
USC00259193        5260Q
USC00259200        5198S
USC00259510        6039S
USC00259513        5372Q
USC00260125       11380Q
USC00260150        9001S
USC00260438        3322R
USC00260507        4374R
USC00260718        7357R
USC00260795        4467R
USC00260800        3829S
USC00260955        5399S
USC00261071       10164R
USC00261327        9181R
USC00261358        5785R
USC00261371       11446R
USC00261415        4205R
USC00261485        4712S
